,street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
60,494,0,95843,0,3,2,1215,2,4,182716,786,597
61,301,14,95632,0,3,2,1130,2,4,182750,7,721
62,918,24,95662,0,4,2,1603,2,4,183200,595,871
63,405,14,95632,0,3,1,1479,2,4,188741,3,704
64,852,33,95823,0,3,2,1420,2,4,189000,161,352
65,247,33,95826,0,3,2,1280,2,4,192067,383,476
66,717,9,95758,0,3,2,1586,2,4,194000,96,357
67,796,0,95843,0,3,2,1362,2,4,194818,781,443
68,770,33,95828,0,4,4,2162,1,4,195000,235,382
69,707,33,95823,0,3,2,1266,2,4,198000,119,365
70,889,9,95624,0,4,2,1715,2,4,199500,120,454
71,70,12,95630,0,3,2,1820,2,4,200000,702,887
72,604,3,95608,0,3,1,936,2,4,200000,599,637
73,133,33,95834,0,0,0,0,2,4,206000,504,73
74,135,33,95834,0,3,2,1511,2,4,208000,561,23
75,856,33,95823,0,4,2,1590,2,4,212864,153,282
76,924,9,95758,0,4,2,1596,2,4,221000,105,354
77,389,33,95835,0,2,2,1341,2,4,221000,641,65
78,860,9,95624,0,5,3,2136,2,4,223058,114,441
79,973,9,95624,0,4,2,1616,2,4,227887,50,463
80,513,33,95823,0,3,2,1478,2,4,231477,272,260
81,20,28,95670,0,3,2,1287,2,4,234697,428,681
82,684,4,95621,0,4,2,1277,2,4,235000,752,671
83,272,33,95833,0,4,2,1448,2,4,236000,458,62
84,932,33,95829,0,4,3,2235,2,4,236685,172,561
85,434,21,95655,0,3,2,2093,2,4,237800,356,794
86,22,30,95673,0,3,2,1193,2,4,240122,724,273
87,489,9,95757,0,3,2,2163,2,4,242638,51,231
88,778,33,95828,0,3,2,1269,2,4,244000,226,386
89,270,33,95833,0,0,0,0,2,4,244500,487,40
90,705,33,95828,0,3,1,958,2,4,244960,287,367
91,881,9,95624,0,5,3,2508,2,4,245918,127,461
92,559,4,95621,0,3,2,1305,2,4,250000,604,731
93,141,9,95758,0,4,2,1591,2,4,250000,130,390
94,403,3,95608,0,2,2,1326,0,4,250134,520,672
95,502,9,95757,0,3,2,1843,2,4,254200,30,237
96,490,33,95841,0,4,2,1921,2,4,254200,562,609
97,565,9,95758,0,5,3,2790,2,4,258000,104,291
98,213,33,95835,0,3,2,1541,2,4,260000,568,6
99,500,33,95820,0,3,1,1018,2,4,260014,323,364
100,75,28,95742,0,0,0,0,2,4,263500,364,868
101,432,33,95834,0,3,2,1672,0,4,265000,550,9
102,575,27,95726,0,3,2,1380,2,4,265000,769,965
103,577,33,95822,0,3,1,975,2,4,271742,312,119
104,792,33,95829,0,4,3,2372,2,4,273750,202,657
105,700,33,95822,0,3,2,1446,2,4,275086,285,99
106,274,27,95726,0,2,2,1284,2,4,280908,838,964
107,174,33,95832,0,4,3,3009,2,4,280987,208,102
108,277,33,95826,0,8,4,3612,1,4,282400,380,534
109,956,9,95758,0,4,2,2056,2,4,285000,70,134
110,903,9,95624,0,4,2,1993,2,4,287417,128,503
111,543,9,95757,0,3,2,1857,2,4,291000,42,266
112,146,33,95818,0,2,1,1126,2,4,292024,370,100
113,17,33,95827,0,4,4,2213,1,4,297000,397,664
114,780,9,95758,0,5,3,2494,2,4,297000,121,400
115,505,9,95757,0,3,2,1843,2,4,298000,52,236
116,169,16,95670,0,2,2,1520,2,4,299000,493,823
117,478,33,95835,0,5,3,2800,2,4,304037,574,2
118,885,9,95624,0,4,2,2309,2,4,311000,122,447
119,961,33,95827,0,5,3,2367,2,4,315537,369,613
120,445,28,95742,0,5,4,3516,2,4,320000,352,862
121,546,28,95742,0,0,0,0,2,4,320000,319,858
122,909,33,95826,0,4,3,1914,2,4,328360,358,516
123,816,24,95662,0,2,1,1690,2,4,334150,782,872
124,466,9,95757,0,3,3,2725,2,4,335750,48,224
125,969,9,95757,0,4,3,2354,2,4,335750,54,330
126,184,33,95833,0,0,0,0,2,4,339500,432,11
127,5,12,95630,0,3,2,2185,2,4,344250,691,891
128,955,9,95758,0,4,2,1801,2,4,346210,73,420
129,871,33,95823,0,3,3,1961,2,4,347029,140,362
130,689,9,95757,0,4,2,3134,2,4,347650,25,351
131,420,33,95823,0,4,3,1915,2,4,351300,178,195
132,295,8,95762,0,3,2,0,2,4,352000,715,910
133,818,33,95831,0,0,0,0,2,4,370000,219,47
134,118,29,95683,0,4,3,2734,2,4,370500,251,917
135,52,38,95693,0,3,2,2110,2,4,372000,23,859
136,726,9,95757,0,5,3,3164,2,4,375000,53,369
137,571,33,95835,0,5,3,3599,2,4,381300,660,78
138,30,33,95831,0,4,2,2054,2,4,381942,293,50
139,791,0,95843,0,4,2,1830,2,4,387731,777,616
140,83,33,95814,0,3,3,1627,2,4,391000,412,111
141,697,9,95757,0,4,3,3440,2,4,394470,65,355
142,132,18,95635,0,3,2,2846,2,4,395000,966,948
143,948,9,95624,0,4,3,2359,2,4,400186,146,593
144,1,33,95831,0,3,3,2052,2,4,415000,256,7
145,711,9,95757,0,5,3,3433,2,4,425000,28,358
146,424,28,95742,0,5,3,3615,2,4,430000,357,849
147,943,9,95624,0,0,0,0,2,4,445000,90,538
148,176,12,95630,0,5,3,2687,2,4,460000,541,886
149,676,9,95757,0,4,3,2724,2,4,461000,27,342
150,716,9,95757,0,4,3,3440,2,4,489332,63,361
151,675,9,95757,0,5,4,3508,2,4,510000,27,341
152,199,12,95630,0,4,2,2462,2,4,539000,563,907
153,887,12,95630,0,0,0,0,2,4,585000,630,905
154,625,8,95762,0,4,3,0,2,4,600000,638,927
155,408,8,95762,0,4,3,0,2,4,606238,612,920
156,401,33,95864,0,3,3,2325,2,4,660000,422,512
157,314,8,95762,0,6,5,0,2,4,830000,628,922
158,654,4,95621,0,2,1,795,0,3,69000,673,669
159,344,33,95817,0,4,2,1099,2,3,70000,366,154
160,957,9,95624,0,2,1,840,0,3,71000,62,521
161,312,33,95815,0,2,1,800,2,3,78000,481,284
162,535,33,95824,0,2,1,746,2,3,78400,301,259
163,634,33,95822,0,3,1,1067,2,3,80000,299,129
164,492,33,95815,0,4,2,1316,2,3,89000,475,202
165,691,33,95815,0,3,1,1337,2,3,90000,472,225
166,616,33,95824,0,2,1,868,2,3,90000,302,393
167,768,33,95824,0,3,1,924,2,3,92000,294,383
168,511,33,95820,0,2,1,610,2,3,93675,340,238
169,106,29,95683,0,0,0,0,2,3,97750,275,902
170,34,33,95815,0,2,1,1220,2,3,98000,467,269
171,532,9,95758,0,1,1,722,0,3,98000,97,251
172,383,33,95864,0,3,1,1643,2,3,99000,417,494
173,531,9,95758,0,1,1,722,0,3,100000,97,251
174,51,14,95632,0,3,1,1080,2,3,106716,0,675
175,539,33,95820,0,3,1,1039,2,3,111000,314,303
176,371,23,95660,0,3,1,1051,2,3,111000,664,470
177,488,33,95842,0,2,2,967,2,3,114800,682,585
178,31,28,95670,0,3,1,1098,2,3,120108,416,726
179,661,33,95824,0,3,1,1050,2,3,123225,303,331
180,181,33,95838,0,3,2,1110,2,3,123750,516,178
181,376,23,95660,0,3,1,888,2,3,125000,555,491
182,640,33,95822,0,3,2,1120,2,3,125000,298,130
183,236,10,95626,0,3,2,1080,2,3,126000,797,415
184,366,23,95660,0,3,1,957,2,3,129000,610,474
185,626,33,95838,0,2,1,952,2,3,134000,524,210
186,673,33,95838,0,3,2,1211,2,3,135000,577,222
187,92,33,95815,0,3,2,1264,2,3,135500,454,295
188,316,33,95833,0,3,1,1080,2,3,140000,478,137
189,862,14,95632,0,3,2,1266,2,3,140000,9,714
190,545,11,95628,0,2,2,994,0,3,142500,591,800
191,25,33,95834,0,3,2,1202,2,3,143500,502,118
192,528,9,95758,0,0,0,0,0,3,145000,97,251
193,332,33,95820,0,2,1,722,2,3,145000,327,147
194,812,33,95828,0,4,2,1448,2,3,145000,260,405
195,787,33,95828,0,3,2,1188,2,3,145000,259,387
196,428,23,95660,0,4,2,1183,2,3,146000,720,526
197,757,33,95822,0,3,1,1320,2,3,148500,254,97
198,857,33,95828,0,3,2,1117,2,3,149000,205,440
199,822,33,95828,0,3,2,1364,2,3,150000,242,419
200,473,33,95823,0,4,2,1310,2,3,150000,248,229
201,939,9,95758,0,2,2,1006,2,3,152000,89,391
202,693,4,95621,0,3,2,1104,2,3,156000,723,692
203,171,33,95825,0,2,1,810,2,3,156000,444,375
204,945,9,95624,0,2,2,1123,2,3,156000,87,517
205,462,33,95842,0,2,1,904,2,3,157788,637,552
206,731,4,95621,0,3,2,1156,2,3,161653,802,705
207,470,33,95820,0,2,1,1321,2,3,161829,344,214
208,322,0,95843,0,3,2,1392,2,3,165000,788,450
209,872,33,95823,0,3,2,1439,2,3,168000,138,368
210,456,33,95842,0,3,2,1159,2,3,169000,743,547
211,234,28,95670,0,3,2,1671,2,3,175000,421,665
212,841,33,95823,0,3,2,1740,2,3,176250,158,325
213,600,33,95823,0,3,2,1265,2,3,179000,166,313
214,794,0,95843,0,2,2,1007,2,3,180000,780,562
215,730,9,95758,0,3,2,1716,2,3,180400,86,371
216,844,9,95758,0,4,2,1685,2,3,182000,83,439
217,200,28,95670,0,4,2,1829,2,3,184500,424,656
218,905,9,95758,0,3,2,1555,2,3,185000,115,272
219,609,3,95608,0,4,2,1120,2,3,189000,611,640
220,720,4,95621,0,3,2,1137,2,3,194000,800,700
221,396,33,95826,0,3,1,1174,2,3,195000,347,528
222,450,0,95843,0,3,2,1393,2,3,200000,757,543
223,259,2,95682,0,3,1,0,2,3,201000,725,944
224,126,19,95648,0,4,2,0,2,3,202500,908,687
225,824,33,95828,0,3,2,1289,2,3,205000,167,446
226,499,33,95838,0,4,2,1799,2,3,205000,566,244
227,222,26,95667,0,3,2,0,2,3,205000,832,960
228,630,33,95823,0,4,3,1953,2,3,205000,125,322
229,430,33,95820,0,2,1,723,2,3,207000,334,363
230,338,2,95682,0,2,2,0,2,3,210000,728,941
231,147,26,95667,0,2,1,948,2,3,211500,829,952
232,596,4,95621,0,4,2,1578,2,3,215000,734,631
233,803,4,95610,0,3,2,1317,2,3,215000,779,825
234,313,33,95833,0,0,0,0,2,3,215500,486,46
235,647,33,95824,0,3,1,1360,2,3,222381,297,215
236,218,33,95825,0,0,0,0,0,3,225000,418,411
237,298,33,95833,0,3,2,1522,2,3,225000,482,45
238,296,33,95825,0,4,2,1751,2,3,225000,439,442
239,949,9,95624,0,3,2,1465,2,3,225000,88,596
240,940,33,95826,0,4,2,1605,2,3,228000,377,575
241,447,30,95673,0,4,2,1475,2,3,229665,753,201
242,209,22,95722,0,3,1,1216,2,3,230000,967,930
243,826,11,95628,0,2,2,1315,2,3,230000,605,828
244,465,9,95757,0,3,2,1567,2,3,230000,39,226
245,547,33,95835,0,3,2,1776,2,3,234000,634,53
246,519,33,95835,0,3,2,2187,2,3,235000,587,15
247,188,33,95822,0,3,1,1291,2,3,236250,330,90
248,633,12,95630,0,0,0,0,0,3,240000,539,900
249,900,9,95624,0,0,0,0,2,3,242000,116,500
250,747,33,95842,0,3,2,1503,2,3,245000,742,542
251,839,33,95828,0,4,3,2491,2,3,245000,164,457
252,326,33,95816,0,2,1,1269,2,3,245000,384,156
253,197,33,95835,0,0,0,0,2,3,250000,656,37
254,584,24,95662,0,3,2,1176,2,3,250000,627,874
255,701,24,95662,0,4,2,1456,2,3,250000,718,836
256,425,32,95678,0,3,2,1498,2,3,250000,811,720
257,541,0,95843,0,3,2,1574,2,3,255000,778,611
258,666,4,95610,0,5,4,2085,1,3,256054,683,807
259,834,33,95829,0,3,2,2170,2,3,257729,163,545
260,799,9,95758,0,4,2,1595,2,3,260000,67,402
261,587,0,95843,0,3,2,1567,2,3,261000,761,619
262,662,19,95648,0,4,2,0,2,3,261800,907,717
263,121,33,95822,0,4,2,1253,2,3,264469,240,79
264,821,0,95843,0,4,3,1768,2,3,265000,795,578
265,212,33,95835,0,0,0,0,2,3,270000,657,34
266,548,33,95835,0,4,3,2030,2,3,270000,632,83
267,475,33,95835,0,3,2,1531,2,3,270000,607,35
268,431,33,95834,0,0,0,0,2,3,270000,549,10
269,901,9,95624,0,4,3,1653,2,3,275000,113,487
270,953,9,95758,0,4,2,2056,2,3,275000,72,125
271,968,9,95624,0,4,3,2494,2,3,280000,58,587
272,898,11,95628,0,3,2,1450,2,3,286013,585,857
273,357,33,95834,0,4,2,2169,2,3,292000,508,39
274,100,32,95747,0,3,2,1440,2,3,292000,837,627
275,555,11,95628,0,3,2,1527,2,3,293993,600,833
276,367,32,95678,0,3,2,1401,2,3,294000,851,790
277,406,33,95838,0,3,2,1411,2,3,296769,573,196
278,42,19,95648,0,4,4,0,2,3,297500,902,668
279,55,16,95670,0,0,0,0,0,3,300000,484,827
280,741,30,95673,0,3,1,1284,2,3,300000,746,213
281,976,14,95632,0,4,3,2307,2,3,300000,11,779
282,455,26,95667,0,3,2,1329,2,3,300000,729,953
283,582,33,95835,0,4,2,1910,2,3,300500,662,87
284,170,16,95670,0,3,2,1981,2,3,305000,494,824
285,321,32,95747,0,0,0,0,2,3,306500,846,533
286,111,33,95835,0,0,0,0,2,3,312500,623,8
287,84,19,95648,0,5,3,0,2,3,315000,905,689
288,808,33,95823,0,4,2,2205,2,3,319789,136,309
289,205,19,95648,0,2,2,1449,2,3,330000,894,802
290,32,12,95630,0,3,2,1258,2,3,330000,618,888
291,553,9,95757,0,3,2,2575,2,3,331000,31,275
292,554,33,95820,0,2,1,539,2,3,334000,346,268
293,349,28,95670,0,4,3,2208,2,3,336000,399,792
294,45,33,95819,0,3,1,1108,2,3,339000,388,298
295,416,12,95630,0,4,2,1595,2,3,339000,560,897
296,806,14,95632,0,4,2,2159,2,3,345000,13,708
297,78,26,95667,0,4,3,2295,2,3,350000,828,961
298,317,32,95678,0,3,2,1838,2,3,356000,859,722
299,397,33,95823,0,4,2,1900,2,3,361745,252,174
300,124,33,95811,0,4,2,1718,2,3,361948,423,135
301,966,9,95757,0,5,3,3389,2,3,370000,59,133
302,608,31,95677,0,4,2,0,2,3,380000,855,877
303,964,9,95757,0,5,4,3260,2,3,385000,60,323
304,343,2,95682,0,3,2,2016,2,3,399000,596,937
305,186,31,95765,0,4,2,2607,2,3,402000,879,793
306,13,9,95757,0,4,3,2724,2,3,406026,38,261
307,38,14,95632,0,5,4,3746,2,3,420000,10,784
308,552,28,95742,0,0,0,0,2,3,425000,316,852
309,659,29,95683,0,4,2,3192,2,3,425000,296,908
310,93,33,95834,0,0,0,0,2,3,433500,554,0
311,104,19,95648,0,4,3,0,2,3,436746,897,678
312,414,8,95762,0,5,3,0,2,3,438700,665,932
313,436,33,95811,0,2,1,1247,2,3,445000,410,141
314,29,12,95630,0,4,2,2581,2,3,450000,654,903
315,451,33,95841,0,3,1,2068,2,3,460000,542,581
316,23,8,95762,0,3,2,0,2,3,460000,619,921
317,971,9,95624,0,4,3,3992,2,3,460000,55,617
318,227,33,95835,0,4,4,3397,2,3,465000,606,3
319,569,33,95835,0,5,3,3881,2,3,471750,661,49
320,189,31,95765,0,5,3,0,2,3,480000,875,797
321,180,3,95608,0,2,2,1598,2,3,484000,434,628
322,980,26,95667,0,4,3,1929,2,3,485000,861,956
323,275,9,95757,0,4,3,3070,2,3,495000,47,145
324,167,32,95678,0,0,0,0,2,3,500500,842,711
325,137,1,95603,0,3,3,0,2,3,504000,957,909
326,256,8,95762,0,0,0,0,2,3,541000,490,925
327,970,38,95693,0,0,0,0,2,3,560000,66,880
328,784,33,95829,0,5,3,3984,2,3,572500,215,688
329,586,3,95608,0,4,2,2222,2,3,582000,433,625
330,286,32,95661,0,4,3,3838,2,3,613401,823,860
331,877,32,95747,0,4,2,0,2,3,614000,831,549
332,419,11,95628,0,5,5,2846,2,3,680000,531,822
333,98,33,95819,0,5,2,2484,2,3,699000,386,239
334,394,20,95650,0,4,4,1624,2,3,839000,882,895
335,599,33,95842,0,2,1,840,0,1,40000,644,569
336,936,33,95825,0,1,1,484,0,1,48000,409,433
337,245,33,95815,0,3,1,970,2,1,61500,463,177
338,404,33,95817,0,2,1,623,2,1,62050,354,180
339,364,33,95820,0,2,1,932,2,1,65000,325,157
340,392,33,95838,0,2,1,796,2,1,65000,527,308
341,479,33,95820,0,2,1,834,2,1,68000,341,220
342,479,33,95820,0,2,1,834,2,1,68000,341,220
343,514,33,95841,0,2,1,924,0,1,77000,579,620
344,459,33,95842,0,2,1,795,0,1,82732,624,559
345,382,33,95838,0,3,1,1250,2,1,84000,521,318
346,388,33,95820,0,2,1,984,2,1,84675,336,165
347,728,33,95828,0,3,1,1013,2,1,85000,280,353
348,765,33,95822,0,3,1,1012,2,1,90000,246,107
349,921,33,95826,0,2,1,795,0,1,90000,379,525
350,18,33,95838,0,2,2,918,2,1,91000,500,264
351,551,33,95838,0,3,1,1082,2,1,95000,525,206
352,538,33,95842,0,2,1,964,2,1,97500,592,553
353,267,33,95815,0,4,2,1404,1,1,100000,453,279
354,369,33,95826,0,1,1,625,0,1,100000,351,567
355,623,4,95621,0,2,1,888,2,1,101000,651,723
356,289,33,95815,0,4,2,1120,2,1,102750,468,190
357,374,23,95660,0,3,1,1331,2,1,112500,707,472
358,198,33,95821,0,3,1,1014,2,1,113000,476,385
359,348,33,95820,0,4,2,1448,2,1,114000,328,149
360,537,33,95838,0,3,1,966,2,1,114000,582,205
361,820,33,95823,0,2,1,779,2,1,114750,173,289
362,814,0,95843,0,2,2,836,0,1,115000,793,536
363,127,32,95678,0,2,2,1100,0,1,115000,819,783
364,795,33,95832,0,3,1,1174,2,1,116100,194,153
365,372,23,95660,0,3,2,1207,2,1,119250,567,477
366,746,33,95828,0,4,4,1995,1,1,120000,270,408
367,246,33,95820,0,2,1,804,2,1,120000,322,132
368,426,33,95834,0,2,2,958,0,1,120000,546,44
369,467,33,95823,0,3,2,1366,2,1,120108,195,234
370,549,33,95823,0,2,2,901,2,1,121500,154,276
371,248,33,95815,0,3,1,696,2,1,121725,449,253
372,166,14,95632,0,3,2,1080,2,1,122000,1,684
373,694,33,95822,0,3,2,1104,2,1,123000,288,104
374,311,33,95825,0,2,1,972,2,1,125000,430,444
375,268,33,95833,0,4,2,1390,2,1,125573,452,124
376,782,10,95626,0,4,2,1354,2,1,126714,760,285
377,916,33,95826,0,2,1,795,0,1,126960,374,506
378,206,32,95678,0,2,1,780,0,1,127000,835,813
379,748,33,95828,0,4,2,1587,2,1,127500,269,458
380,738,23,95660,0,3,2,1209,2,1,130000,741,483
381,418,33,95824,0,2,1,1139,2,1,133105,308,183
382,641,30,95673,0,2,2,1690,2,1,136500,712,216
383,721,3,95608,0,3,2,1245,0,1,139500,491,632
384,229,10,95626,0,3,2,1416,2,1,140000,799,414
385,221,33,95832,0,3,2,1300,2,1,140800,225,127
386,187,33,95822,0,3,2,1120,2,1,145000,249,112
387,769,33,95828,0,4,2,1590,2,1,147000,228,428
388,855,33,95828,0,3,2,1407,2,1,149600,230,435
389,363,33,95820,0,5,2,1516,2,1,150000,329,155
390,7,32,95747,0,2,2,0,0,1,150000,869,630
391,269,33,95822,0,3,2,1646,2,1,150000,264,143
392,628,33,95823,0,3,2,1676,2,1,155000,157,316
393,76,33,95838,0,3,2,1370,2,1,155435,544,293
394,76,33,95838,0,3,2,1370,2,1,155500,544,293
395,618,4,95621,0,4,2,1351,2,1,158000,750,645
396,735,23,95660,0,3,2,1152,2,1,158000,737,475
397,858,33,95823,0,3,2,1452,2,1,160000,151,299
398,129,32,95678,0,2,1,990,2,1,160000,822,713
399,687,4,95621,0,2,2,1162,2,1,164000,804,686
400,63,30,95673,0,3,2,1182,2,1,164000,701,168
401,674,9,95758,0,2,2,1112,2,1,165000,103,332
402,758,14,95632,0,3,2,1100,2,1,167000,16,706
403,850,4,95621,0,4,2,1280,2,1,167293,791,718
404,850,4,95621,0,4,2,1280,2,1,167293,791,718
405,534,33,95820,0,3,1,1039,2,1,168000,317,314
406,727,33,95842,0,3,2,1159,2,1,170000,731,546
407,285,33,95833,0,4,2,1917,2,1,170000,464,123
408,11,33,95827,0,3,2,1520,2,1,170000,389,653
409,331,14,95632,0,3,2,1204,2,1,174000,8,703
410,472,33,95841,0,3,2,1120,2,1,178000,578,570
411,875,33,95823,0,3,2,1436,2,1,180000,137,347
412,942,33,95826,0,3,2,1451,2,1,180000,382,586
413,817,33,95828,0,4,2,1638,2,1,180000,182,462
414,729,3,95608,0,2,2,1000,0,1,182000,522,710
415,138,32,95661,0,3,1,1152,2,1,188325,813,832
416,89,32,95747,0,3,2,1154,2,1,191500,834,679
417,185,33,95838,0,3,2,1353,2,1,192000,572,160
418,612,4,95621,0,3,2,1329,2,1,192700,762,641
419,377,33,95826,0,3,1,1356,2,1,195000,349,518
420,516,33,95838,0,3,2,1505,2,1,197654,538,209
421,639,33,95842,0,3,1,1009,2,1,198000,676,573
422,0,33,95823,0,3,2,1144,2,1,200345,174,345
423,925,33,95864,0,2,1,930,2,1,203000,408,449
424,688,33,95841,0,4,2,1766,2,1,207000,703,629
425,827,33,95828,0,4,3,1940,2,1,208000,193,430
426,954,9,95758,0,4,2,1776,2,1,210000,75,413
427,736,4,95621,0,3,1,1258,2,1,212000,739,719
428,828,33,95828,0,4,2,1872,2,1,213675,165,498
429,667,9,95758,0,2,2,1112,2,1,213697,99,335
430,283,33,95833,0,4,2,1856,2,1,215000,462,84
431,323,33,95816,0,4,3,1939,2,1,215000,400,172
432,303,32,95678,0,3,1,998,2,1,215100,833,712
433,653,32,95678,0,3,2,1758,2,1,217500,839,693
434,41,33,95838,0,3,2,2142,2,1,218000,576,175
435,763,33,95831,0,2,1,950,2,1,220000,245,64
436,756,9,95758,0,4,3,1739,2,1,221000,82,378
437,878,9,95624,0,3,2,1516,2,1,222900,46,464
438,330,0,95843,0,3,1,988,2,1,223139,759,448
439,927,14,95632,0,4,2,1555,2,1,225500,14,724
440,448,33,95820,0,3,2,1212,2,1,228327,331,389
441,293,33,95833,0,4,2,1871,2,1,230000,483,43
442,893,33,95828,0,3,2,1302,2,1,230000,212,466
443,476,33,95841,0,2,1,756,0,1,230522,571,576
444,457,0,95843,0,4,3,2026,2,1,231200,805,560
445,310,33,95831,0,3,2,1375,2,1,232000,265,1
446,292,33,95834,0,2,2,1250,0,1,232500,535,4
447,581,33,95822,0,3,1,1058,2,1,233641,311,128
448,892,0,95843,0,3,2,1187,2,1,234000,816,445
449,759,33,95831,0,2,2,1324,2,1,234500,257,32
450,819,33,95828,0,4,3,1936,2,1,235000,171,412
451,39,28,95670,0,5,4,2382,1,1,236000,436,799
452,642,12,95630,0,3,2,1427,2,1,236073,670,894
453,328,33,95835,0,3,2,1678,0,1,238000,603,29
454,725,14,95632,0,4,2,1798,2,1,238861,12,698
455,329,0,95843,0,4,3,2652,2,1,239700,810,452
456,923,33,95829,0,4,2,1816,2,1,240000,156,540
457,6,33,95834,0,5,3,3076,2,1,240000,512,58
458,670,9,95758,0,4,2,1844,2,1,241000,112,333
459,496,33,95823,0,3,2,1306,2,1,245000,168,247
460,365,33,95833,0,4,3,2447,2,1,246000,437,12
461,710,33,95828,0,4,2,1176,2,1,247234,262,373
462,776,30,95673,0,4,2,1182,2,1,247480,697,171
463,86,30,95673,0,3,1,1160,2,1,249862,689,306
464,190,33,95835,0,3,2,1424,2,1,251000,648,57
465,848,24,95662,0,4,2,1574,2,1,252155,717,837
466,540,0,95843,0,3,2,1830,2,1,254172,778,610
467,930,9,95624,0,4,2,1724,2,1,258000,147,563
468,202,1,95603,0,2,2,1255,0,1,260000,963,904
469,870,9,95758,0,0,0,0,2,1,261000,80,416
470,360,33,95835,0,4,3,2175,2,1,261000,653,60
471,342,33,95835,0,4,2,1904,2,1,261000,674,21
472,959,8,95762,0,4,2,1808,2,1,262500,598,915
473,67,28,95742,0,4,2,2711,2,1,266000,359,844
474,601,3,95608,0,3,1,1713,2,1,266000,633,644
475,579,9,95757,0,3,2,1457,2,1,270000,43,290
476,26,9,95757,0,4,3,2724,2,1,274425,24,339
477,655,31,95765,0,0,0,0,2,1,274500,878,730
478,783,33,95828,0,3,2,1468,2,1,275336,217,473
479,203,33,95835,0,4,3,2550,2,1,277980,609,61
480,28,14,95632,0,4,2,1928,2,1,280000,17,732
481,74,33,95814,0,3,3,1922,2,1,284686,411,106
482,648,4,95621,0,3,2,1343,2,1,284893,792,659
483,556,31,95677,0,3,2,1510,2,1,285000,860,875
